,players_mv,players_name,domestic_team,country_name,domestic_team_country,plays_domestically
320,85000000.0,Aurélien Tchouaméni,real-madrid/startseite/verein/418,France,Spain,N
321,14000000.0,Jordan Veretout,olympique-marseille/startseite/verein/244,France,France,Y
322,25000000.0,Youssouf Fofana,as-monaco/startseite/verein/162,France,Monaco,N
323,60000000.0,Ousmane Dembélé,fc-barcelona/startseite/verein/131,France,Spain,N
324,25000000.0,Antoine Griezmann,atletico-madrid/startseite/verein/13,France,Spain,N
325,65000000.0,Randal Kolo Muani,eintracht-frankfurt/startseite/verein/24,France,Germany,N
326,4000000.0,Olivier Giroud,ac-mailand/startseite/verein/5,France,Italy,N
327,10000000.0,Brice Samba,rc-lens/startseite/verein/826,France,France,Y
328,65000000.0,Wesley Fofana,fc-chelsea/startseite/verein/631,France,England,N
329,60000000.0,Jules Koundé,fc-barcelona/startseite/verein/131,France,Spain,N
330,25000000.0,Axel Disasi,as-monaco/startseite/verein/162,France,Monaco,N
331,35000000.0,Benjamin Pavard,fc-bayern-munchen/startseite/verein/27,France,Germany,N
332,25000000.0,Boubacar Kamara,aston-villa/startseite/verein/405,France,England,N
333,85000000.0,Eduardo Camavinga,real-madrid/startseite/verein/418,France,Spain,N
334,65000000.0,Kingsley Coman,fc-bayern-munchen/startseite/verein/27,France,Germany,N
335,80000000.0,Christopher Nkunku,rasenballsport-leipzig/startseite/verein/23826,France,Germany,N
336,180000000.0,Kylian Mbappé,fc-paris-saint-germain/startseite/verein/583,France,France,Y
337,32000000.0,Marcus Thuram,borussia-monchengladbach/startseite/verein/18,France,Germany,N
338,35000000.0,Marc-André ter Stegen,fc-barcelona/startseite/verein/131,Germany,Spain,N
339,8500000.0,Kevin Trapp,eintracht-frankfurt/startseite/verein/24,Germany,Germany,Y
340,32000000.0,Antonio Rüdiger,real-madrid/startseite/verein/418,Germany,Spain,N
341,20000000.0,Malick Thiaw,ac-mailand/startseite/verein/5,Germany,Italy,N
342,20000000.0,David Raum,rasenballsport-leipzig/startseite/verein/23826,Germany,Germany,Y
343,9000000.0,Marius Wolf,borussia-dortmund/startseite/verein/16,Germany,Germany,Y
344,14000000.0,Emre Can,borussia-dortmund/startseite/verein/16,Germany,Germany,Y
345,25000000.0,Ilkay Gündogan,manchester-city/startseite/verein/281,Germany,England,N
346,110000000.0,Jamal Musiala,fc-bayern-munchen/startseite/verein/27,Germany,Germany,Y
347,40000000.0,Julian Brandt,borussia-dortmund/startseite/verein/16,Germany,Germany,Y
348,13000000.0,Jonas Hofmann,borussia-monchengladbach/startseite/verein/18,Germany,Germany,Y
349,13000000.0,Niclas Füllkrug,sv-werder-bremen/startseite/verein/86,Germany,Germany,Y
350,10000000.0,Bernd Leno,fc-fulham/startseite/verein/931,Germany,England,N
